symbol,W3,W7,W14,score
BTC,-1.787102435028976,-0.28212605832548837,0.5587646841746268,-0.39726267433648854
ETH,-7.298574752763242,0.5787005076943134,0.5176362984076535,-1.8089077541576173
BNB,-2.67905466353959,-1.3035722453460115,-1.6604129004815578,-1.8589532328583038
XRP,-3.398686416371335,-4.7423186715368875,-0.07543628853460804,-2.47247604178631
LTC,-3.965053763440867,-2.557108762359359,-2.888209310227672,-3.1119324818311362
SOL,-6.722900667254189,-4.140251002717043,-5.659896861272036,-5.522904245500183
ADA,-12.035477599360794,-10.97395474529816,-11.76843767810599,-11.610204774640081
DOT,-12.8150331613854,-12.481814819381091,-12.55728011825573,-12.611966441532239
