timestamp,parameter,value
2025-05-31 22:55:05,MIN_BUY_SCORE,0.25
2025-05-31 23:05:53,MIN_BUY_SCORE,0.25
2025-05-31 23:13:41,MIN_BUY_SCORE,0.25
2025-05-31 23:43:44,MIN_BUY_SCORE,0.25
2025-06-01 00:02:13,MIN_BUY_SCORE,0.25
2025-06-01 00:02:36,MIN_BUY_SCORE,0.25
2025-06-01 00:08:13,MIN_BUY_SCORE,0.25
2025-06-01 00:13:47,MIN_BUY_SCORE,0.25
2025-06-01 00:43:50,MIN_BUY_SCORE,0.25
2025-06-01 01:13:53,MIN_BUY_SCORE,0.25
2025-06-01 01:43:56,MIN_BUY_SCORE,0.25
2025-06-01 02:02:07,MIN_BUY_SCORE,0.25
2025-06-01 10:07:01,MIN_BUY_SCORE,0.25
2025-06-01 10:22:04,MIN_BUY_SCORE,0.25
2025-06-01 10:37:07,MIN_BUY_SCORE,0.25
2025-06-01 10:52:10,MIN_BUY_SCORE,0.25
2025-06-01 11:07:12,MIN_BUY_SCORE,0.25
2025-06-01 11:22:16,MIN_BUY_SCORE,0.25
2025-06-01 11:37:19,MIN_BUY_SCORE,0.25
2025-06-01 11:52:24,MIN_BUY_SCORE,0.25
2025-06-01 12:07:27,MIN_BUY_SCORE,0.25
2025-06-01 12:22:30,MIN_BUY_SCORE,0.25
2025-06-01 12:37:33,MIN_BUY_SCORE,0.25
2025-06-01 12:52:36,MIN_BUY_SCORE,0.25
2025-06-01 13:07:39,MIN_BUY_SCORE,0.25
2025-06-01 13:22:42,MIN_BUY_SCORE,0.25
2025-06-01 13:37:45,MIN_BUY_SCORE,0.25
2025-06-01 13:52:49,MIN_BUY_SCORE,0.25
2025-06-01 14:07:52,MIN_BUY_SCORE,0.25
2025-06-01 14:22:55,MIN_BUY_SCORE,0.25
2025-06-01 14:37:58,MIN_BUY_SCORE,0.25
2025-06-01 14:52:56,MIN_BUY_SCORE,0.25
2025-06-01 15:08:00,MIN_BUY_SCORE,0.25
2025-06-01 15:23:03,MIN_BUY_SCORE,0.25
