timestamp,symbol,score,delta,price,signal
2025-06-01 01:43:56,ETH,-0.8475,-0.1575,2531.06,HOLD
2025-06-01 01:43:56,ADA,-8.2749,-0.3175,0.686226,HOLD
2025-06-01 01:43:56,XRP,-7.2527,-0.3777,2.1759,HOLD
2025-06-01 01:43:56,SOL,-8.9707,-0.372,156.59,HOLD
2025-06-01 01:43:56,DOT,-10.716,-0.2322,4.0767,HOLD
2025-06-01 01:43:56,LTC,-10.0051,-0.2271,87.2,HOLD
2025-06-01 02:02:07,ETH,-0.9948,-0.1473,2527.3,HOLD
2025-06-01 02:02:07,XRP,-7.41,-0.1573,2.17221,HOLD
2025-06-01 02:02:07,LTC,-10.1495,-0.1444,87.06,HOLD
2025-06-01 10:07:00,BTC,-2.5118,-0.3129,104307.0,HOLD
2025-06-01 10:07:00,ETH,-1.8069,-0.8121,2506.57,SELL
2025-06-01 10:07:00,ADA,-10.4436,-2.1853,0.670001,SELL
2025-06-01 10:07:00,BNB,-1.5109,-0.6522,653.94,SELL
2025-06-01 10:07:00,XRP,-8.2024,-0.7924,2.15362,SELL
2025-06-01 10:07:00,SOL,-10.331,-1.3661,154.25,SELL
2025-06-01 10:07:00,DOT,-11.6358,-0.8257,4.0347,SELL
2025-06-01 10:07:00,LTC,-10.6759,-0.5264,86.55,SELL
2025-06-01 10:22:04,SOL,-10.517,-0.186,153.93,HOLD
2025-06-01 10:37:07,ADA,-10.8054,-0.3082,0.667294,HOLD
2025-06-01 10:37:07,BNB,-1.7052,-0.1943,652.65,HOLD
2025-06-01 10:37:07,XRP,-8.4624,-0.2762,2.14752,HOLD
2025-06-01 10:37:07,SOL,-10.8484,-0.3314,153.36,HOLD
2025-06-01 10:37:07,DOT,-11.7081,-0.1599,4.0314,HOLD
2025-06-01 10:52:10,ADA,-10.6089,0.1965,0.668764,HOLD
2025-06-01 10:52:10,XRP,-8.2198,0.2426,2.15321,HOLD
2025-06-01 11:07:12,ADA,-10.8982,-0.2893,0.6666,HOLD
2025-06-01 11:07:12,XRP,-8.5711,-0.3513,2.14497,HOLD
2025-06-01 11:07:12,SOL,-11.0518,-0.1976,153.01,HOLD
2025-06-01 11:07:12,DOT,-11.9161,-0.2255,4.0219,HOLD
2025-06-01 11:22:16,BTC,-2.6828,-0.2303,104124.0,HOLD
2025-06-01 11:22:16,ETH,-2.2899,-0.4869,2494.24,HOLD
2025-06-01 11:22:16,ADA,-11.9004,-1.0022,0.659102,SELL
2025-06-01 11:22:16,XRP,-8.9828,-0.4117,2.13531,HOLD
2025-06-01 11:22:16,SOL,-11.6739,-0.6221,151.94,SELL
2025-06-01 11:22:16,DOT,-12.3542,-0.4381,4.0019,HOLD
2025-06-01 11:22:16,LTC,-10.7068,-0.2373,86.52,HOLD
2025-06-01 11:37:19,BTC,-2.8421,-0.1593,103953.6,HOLD
2025-06-01 11:37:19,ETH,-2.4505,-0.1606,2490.14,HOLD
2025-06-01 11:37:19,ADA,-11.7615,0.1389,0.660141,HOLD
2025-06-01 11:37:19,BNB,-1.9567,-0.2741,650.98,HOLD
2025-06-01 11:37:19,SOL,-11.8715,-0.1976,151.6,HOLD
2025-06-01 11:37:19,LTC,-10.9545,-0.2477,86.28,HOLD
2025-06-01 11:52:24,ADA,-12.1262,-0.3647,0.657413,HOLD
2025-06-01 11:52:24,BNB,-2.1766,-0.2199,649.52,HOLD
2025-06-01 11:52:24,SOL,-12.011,-0.1395,151.36,HOLD
2025-06-01 11:52:24,DOT,-12.5491,-0.184,3.993,HOLD
2025-06-01 11:52:24,LTC,-11.0784,-0.1239,86.16,HOLD
2025-06-01 12:07:27,ADA,-12.313,-0.1868,0.656015,HOLD
2025-06-01 12:07:27,BNB,-2.0516,0.125,650.35,HOLD
2025-06-01 12:07:27,XRP,-9.2006,-0.1709,2.1302,HOLD
2025-06-01 12:07:27,LTC,-10.8617,0.2167,86.37,HOLD
2025-06-01 12:22:30,ETH,-2.1798,0.277,2497.05,HOLD
2025-06-01 12:22:30,ADA,-11.6735,0.6395,0.6608,HOLD
2025-06-01 12:22:30,XRP,-8.8076,0.393,2.13942,HOLD
2025-06-01 12:22:30,SOL,-11.8076,0.186,151.71,HOLD
2025-06-01 12:22:30,DOT,-12.2271,0.3417,4.0077,HOLD
2025-06-01 12:22:30,LTC,-10.6243,0.2374,86.6,HOLD
2025-06-01 12:37:33,ETH,-2.445,-0.2652,2490.28,HOLD
2025-06-01 12:37:33,ADA,-11.9249,-0.2514,0.658919,HOLD
2025-06-01 12:37:33,XRP,-9.0182,-0.2106,2.13448,HOLD
2025-06-01 12:37:33,SOL,-12.1215,-0.3139,151.17,HOLD
2025-06-01 12:37:33,DOT,-12.6192,-0.3921,3.9898,HOLD
2025-06-01 12:37:33,LTC,-10.872,-0.2477,86.36,HOLD
2025-06-01 12:52:36,BNB,-2.157,-0.1145,649.65,HOLD
2025-06-01 12:52:36,XRP,-8.8873,0.1309,2.13755,HOLD
2025-06-01 12:52:36,LTC,-10.9855,-0.1135,86.25,HOLD
2025-06-01 13:07:39,ETH,-2.1943,0.3005,2496.68,HOLD
2025-06-01 13:07:39,XRP,-8.7859,0.1014,2.13993,HOLD
2025-06-01 13:07:39,SOL,-11.7552,0.4128,151.8,HOLD
2025-06-01 13:07:39,DOT,-12.1899,0.3657,4.0094,HOLD
2025-06-01 13:07:39,LTC,-10.7791,0.2064,86.45,HOLD
2025-06-01 13:22:42,ETH,-2.0529,0.1414,2500.29,HOLD
2025-06-01 13:22:42,ADA,-11.5052,0.35,0.662059,HOLD
2025-06-01 13:22:42,XRP,-8.5617,0.2242,2.14519,HOLD
2025-06-01 13:22:42,SOL,-11.5867,0.1685,152.09,HOLD
2025-06-01 13:22:42,DOT,-12.0256,0.1643,4.0169,HOLD
2025-06-01 13:22:42,LTC,-10.5314,0.2477,86.69,HOLD
2025-06-01 13:37:45,ETH,-1.9444,0.1085,2503.06,HOLD
2025-06-01 13:37:45,ADA,-11.1374,0.3678,0.66481,HOLD
2025-06-01 13:37:45,DOT,-11.8132,0.2124,4.0266,HOLD
2025-06-01 13:37:45,LTC,-10.3353,0.1961,86.88,HOLD
2025-06-01 13:52:49,BNB,-1.9778,0.122,650.84,HOLD
2025-06-01 13:52:49,LTC,-10.2218,0.1135,86.99,HOLD
2025-06-01 14:07:52,ETH,-2.2629,-0.2652,2494.93,HOLD
2025-06-01 14:07:52,ADA,-11.3794,-0.2005,0.663,HOLD
2025-06-01 14:07:52,XRP,-9.08,-0.5473,2.13303,SELL
2025-06-01 14:07:52,SOL,-11.825,-0.3023,151.68,HOLD
2025-06-01 14:07:52,DOT,-11.9577,-0.2343,4.02,HOLD
2025-06-01 14:07:52,LTC,-10.552,-0.3302,86.67,HOLD
2025-06-01 14:22:55,XRP,-8.947,0.133,2.13615,HOLD
2025-06-01 14:22:55,SOL,-11.6506,0.1744,151.98,HOLD
2025-06-01 14:22:55,LTC,-10.3766,0.1754,86.84,HOLD
2025-06-01 14:37:58,BTC,-2.9338,-0.2404,103855.5,HOLD
2025-06-01 14:37:58,ETH,-2.93,-0.6941,2477.9,SELL
2025-06-01 14:37:58,ADA,-11.8572,-0.5666,0.659425,SELL
2025-06-01 14:37:58,BNB,-2.3272,-0.2802,648.52,HOLD
2025-06-01 14:37:58,XRP,-9.2326,-0.2856,2.12945,HOLD
2025-06-01 14:37:58,SOL,-12.2435,-0.5929,150.96,SELL
2025-06-01 14:37:58,DOT,-12.4286,-0.5125,3.9985,SELL
2025-06-01 14:37:58,LTC,-10.8823,-0.5057,86.35,SELL
2025-06-01 14:52:56,BTC,-2.8337,0.1001,103962.6,HOLD
2025-06-01 14:52:56,ETH,-2.6856,0.2444,2484.14,HOLD
2025-06-01 14:52:56,XRP,-9.0361,0.1965,2.13406,HOLD
2025-06-01 14:52:56,SOL,-12.1098,0.1337,151.19,HOLD
2025-06-01 14:52:56,DOT,-12.3104,0.1182,4.0039,HOLD
2025-06-01 14:52:56,LTC,-10.6656,0.2167,86.56,HOLD
2025-06-01 15:08:00,ADA,-11.5799,0.2649,0.6615,HOLD
2025-06-01 15:08:00,BNB,-2.1766,0.1506,649.52,HOLD
2025-06-01 15:08:00,SOL,-11.9936,0.1162,151.39,HOLD
2025-06-01 15:08:00,LTC,-10.5314,0.1342,86.69,HOLD
2025-06-01 15:23:03,BTC,-2.4952,0.2932,104324.7,HOLD
2025-06-01 15:23:03,ETH,-2.2927,0.3137,2494.17,HOLD
2025-06-01 15:23:03,ADA,-11.1568,0.4231,0.664665,HOLD
2025-06-01 15:23:03,XRP,-8.7501,0.3597,2.14077,HOLD
2025-06-01 15:23:03,SOL,-11.6564,0.3372,151.97,HOLD
2025-06-01 15:23:03,DOT,-11.8964,0.3483,4.0228,HOLD
2025-06-01 15:23:03,LTC,-10.0463,0.4851,87.16,HOLD
2025-06-01 15:53:11,LTC,-9.5509,0.4438,87.64,HOLD
2025-06-01 16:08:15,BTC,-2.3043,0.1448,104529.0,HOLD
2025-06-01 16:08:15,ETH,-1.9037,0.3032,2504.1,HOLD
2025-06-01 16:08:15,ADA,-10.7132,0.5039,0.667984,HOLD
2025-06-01 16:08:15,XRP,-8.4602,0.2473,2.14757,HOLD
2025-06-01 16:08:15,SOL,-11.1972,0.3429,152.76,HOLD
2025-06-01 16:08:15,DOT,-11.5657,0.3373,4.0379,HOLD
2025-06-01 16:08:15,LTC,-9.3755,0.1754,87.81,HOLD
2025-06-01 16:23:18,BTC,-2.1754,0.1289,104666.9,HOLD
2025-06-01 16:23:18,ETH,-1.707,0.1967,2509.12,HOLD
2025-06-01 16:23:18,ADA,-10.4215,0.2917,0.670166,HOLD
2025-06-01 16:23:18,BNB,-1.7368,0.3494,652.44,HOLD
2025-06-01 16:23:18,XRP,-8.3162,0.144,2.15095,HOLD
2025-06-01 16:23:18,SOL,-10.9007,0.2965,153.27,HOLD
2025-06-01 16:23:18,DOT,-11.2963,0.2694,4.0502,HOLD
2025-06-01 16:23:18,LTC,-9.4993,-0.1238,87.69,HOLD
2025-06-01 16:38:22,ETH,-1.5777,0.1293,2512.42,HOLD
2025-06-01 16:38:22,ADA,-10.1662,0.2553,0.672076,HOLD
2025-06-01 16:38:22,SOL,-10.6565,0.2442,153.69,HOLD
2025-06-01 16:38:22,DOT,-11.0642,0.2321,4.0608,HOLD
2025-06-01 16:38:22,LTC,-9.3858,0.1135,87.8,HOLD
2025-06-01 16:53:26,ADA,-10.3535,-0.1873,0.670675,HOLD
2025-06-01 16:53:26,XRP,-8.4922,-0.2459,2.14682,HOLD
2025-06-01 16:53:26,SOL,-10.8542,-0.1977,153.35,HOLD
2025-06-01 16:53:26,DOT,-11.3752,-0.311,4.0466,HOLD
2025-06-01 16:53:26,LTC,-9.6851,-0.2993,87.51,HOLD
2025-06-01 17:08:29,ETH,-1.8296,-0.2382,2505.99,HOLD
2025-06-01 17:08:29,SOL,-11.017,-0.1628,153.07,HOLD
2025-06-01 17:08:29,DOT,-11.4803,-0.1051,4.0418,HOLD
2025-06-01 17:08:29,LTC,-9.8296,-0.1445,87.37,HOLD
2025-06-01 17:23:32,ETH,-1.477,0.3526,2514.99,HOLD
2025-06-01 17:23:32,ADA,-9.9059,0.5043,0.674024,HOLD
2025-06-01 17:23:32,BNB,-1.8287,-0.1025,651.83,HOLD
2025-06-01 17:23:32,XRP,-8.1815,0.3546,2.15411,HOLD
2025-06-01 17:23:32,SOL,-10.5403,0.4767,153.89,HOLD
2025-06-01 17:23:32,DOT,-11.2482,0.2321,4.0524,HOLD
2025-06-01 17:23:32,LTC,-9.5819,0.2477,87.61,HOLD
2025-06-01 17:38:36,BTC,-2.0499,0.1039,104801.2,HOLD
2025-06-01 17:38:36,ETH,-1.3446,0.1324,2518.37,HOLD
2025-06-01 17:38:36,BNB,-1.6811,0.1476,652.81,HOLD
2025-06-01 17:38:36,SOL,-10.331,0.2093,154.25,HOLD
2025-06-01 17:53:39,ETH,-1.1045,0.2401,2524.5,HOLD
2025-06-01 17:53:39,ADA,-9.7011,0.2232,0.675556,HOLD
2025-06-01 17:53:39,BNB,-1.428,0.2531,654.49,HOLD
2025-06-01 17:53:39,LTC,-9.4684,0.1445,87.72,HOLD
2025-06-01 18:08:42,BTC,-1.8641,0.2024,105000.0,HOLD
2025-06-01 18:08:42,ETH,-0.9921,0.1124,2527.37,HOLD
