timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-06-01 12:07:27,HOLD,810,101,12.5,-1.25
2025-06-01 12:22:30,BUY,43,43,100.0,909.9
2025-06-01 12:22:30,SELL,43,43,100.0,1.26
2025-06-01 12:22:30,HOLD,864,101,11.7,-1.31
2025-06-01 12:37:33,BUY,44,44,100.0,909.9
2025-06-01 12:37:33,SELL,44,44,100.0,1.26
2025-06-01 12:37:33,HOLD,918,101,11.0,-1.37
2025-06-01 12:52:36,BUY,45,45,100.0,909.9
2025-06-01 12:52:36,SELL,45,45,100.0,1.26
2025-06-01 12:52:36,HOLD,972,101,10.4,-1.43
2025-06-01 13:07:39,BUY,46,46,100.0,909.9
2025-06-01 13:07:39,SELL,46,46,100.0,1.26
2025-06-01 13:07:39,HOLD,1026,101,9.8,-1.47
2025-06-01 13:22:42,BUY,47,47,100.0,909.9
2025-06-01 13:22:42,SELL,47,47,100.0,1.26
2025-06-01 13:22:42,HOLD,1080,101,9.4,-1.5
2025-06-01 13:37:45,BUY,48,48,100.0,909.9
2025-06-01 13:37:45,SELL,48,48,100.0,1.26
2025-06-01 13:37:45,HOLD,1134,101,8.9,-1.52
2025-06-01 13:52:49,BUY,49,49,100.0,909.9
2025-06-01 13:52:49,SELL,49,49,100.0,1.26
2025-06-01 13:52:49,HOLD,1188,101,8.5,-1.53
2025-06-01 14:07:52,BUY,50,50,100.0,909.9
2025-06-01 14:07:52,SELL,50,50,100.0,1.26
2025-06-01 14:07:52,HOLD,1242,101,8.1,-1.56
2025-06-01 14:22:55,BUY,51,51,100.0,909.9
2025-06-01 14:22:55,SELL,51,51,100.0,1.26
2025-06-01 14:22:55,HOLD,1296,101,7.8,-1.58
2025-06-01 14:37:58,BUY,52,52,100.0,909.9
2025-06-01 14:37:58,SELL,52,52,100.0,1.26
2025-06-01 14:37:58,HOLD,1350,101,7.5,-1.62
2025-06-01 14:52:56,BUY,53,53,100.0,909.9
2025-06-01 14:52:56,SELL,53,53,100.0,1.26
2025-06-01 14:52:56,HOLD,1404,101,7.2,-1.65
2025-06-01 15:08:00,BUY,54,54,100.0,909.9
2025-06-01 15:08:00,SELL,54,54,100.0,1.26
2025-06-01 15:08:00,HOLD,1458,101,6.9,-1.67
2025-06-01 15:23:03,BUY,55,55,100.0,909.9
2025-06-01 15:23:03,SELL,55,55,100.0,1.26
2025-06-01 15:23:03,HOLD,1512,102,6.7,-1.68
2025-06-01 15:38:07,BUY,56,56,100.0,909.9
2025-06-01 15:38:07,SELL,56,56,100.0,1.26
2025-06-01 15:38:07,HOLD,1566,103,6.6,-1.69
2025-06-01 15:53:11,BUY,57,57,100.0,909.9
2025-06-01 15:53:11,SELL,57,57,100.0,1.26
2025-06-01 15:53:11,HOLD,1620,108,6.7,-1.69
2025-06-01 16:08:15,BUY,58,58,100.0,909.9
2025-06-01 16:08:15,SELL,58,58,100.0,1.26
2025-06-01 16:08:15,HOLD,1674,115,6.9,-1.68
2025-06-01 16:23:18,BUY,59,59,100.0,909.9
2025-06-01 16:23:18,SELL,59,59,100.0,1.26
2025-06-01 16:23:18,HOLD,1728,122,7.1,-1.67
2025-06-01 16:38:22,BUY,60,60,100.0,909.9
2025-06-01 16:38:22,SELL,60,60,100.0,1.26
2025-06-01 16:38:22,HOLD,1782,132,7.4,-1.66
2025-06-01 16:53:26,BUY,61,61,100.0,909.9
2025-06-01 16:53:26,SELL,61,61,100.0,1.26
2025-06-01 16:53:26,HOLD,1836,137,7.5,-1.65
2025-06-01 17:08:29,BUY,62,62,100.0,909.9
2025-06-01 17:08:29,SELL,62,62,100.0,1.26
2025-06-01 17:08:29,HOLD,1890,139,7.4,-1.64
2025-06-01 17:23:32,BUY,63,63,100.0,909.9
2025-06-01 17:23:32,SELL,63,63,100.0,1.26
2025-06-01 17:23:32,HOLD,1944,145,7.5,-1.63
2025-06-01 17:38:36,BUY,64,64,100.0,909.9
2025-06-01 17:38:36,SELL,64,64,100.0,1.26
2025-06-01 17:38:36,HOLD,1998,152,7.6,-1.62
2025-06-01 17:53:39,BUY,65,65,100.0,909.9
2025-06-01 17:53:39,SELL,65,65,100.0,1.26
2025-06-01 17:53:39,HOLD,2052,161,7.8,-1.6
2025-06-01 18:08:42,BUY,66,66,100.0,909.9
2025-06-01 18:08:42,SELL,66,66,100.0,1.26
2025-06-01 18:08:42,HOLD,2106,172,8.2,-1.58
2025-06-01 18:23:46,BUY,67,67,100.0,909.9
2025-06-01 18:23:46,SELL,67,67,100.0,1.26
2025-06-01 18:23:46,HOLD,2160,189,8.8,-1.55
2025-06-01 18:38:50,BUY,68,68,100.0,909.9
2025-06-01 18:38:50,SELL,68,68,100.0,1.26
2025-06-01 18:38:50,HOLD,2214,208,9.4,-1.52
2025-06-01 18:53:53,BUY,69,69,100.0,909.9
2025-06-01 18:53:53,SELL,69,69,100.0,1.26
