timestamp,symbol,W3,W7,W14,score
2025-05-31 20:32:44,SOL,-9.2117,-11.1155,-5.7885,-8.4136
2025-05-31 20:32:44,DOT,-10.6075,-9.9613,-11.0827,-10.6037
2025-05-31 20:32:44,LTC,-8.4042,-8.7297,-9.1193,-8.7879
2025-05-31 20:47:47,BTC,-3.0886,-3.0999,1.2724,-1.3476
2025-05-31 20:47:47,ETH,-5.4063,0.2255,2.4902,-0.5582
2025-05-31 20:47:47,ADA,-8.3401,-8.2795,-7.7708,-8.0942
2025-05-31 20:47:47,BNB,-4.4066,-1.6592,2.8075,-0.6967
2025-05-31 20:47:47,XRP,-3.8415,-6.1492,-7.0738,-5.8267
2025-05-31 20:47:47,SOL,-9.2117,-11.1155,-5.7885,-8.4136
2025-05-31 20:47:47,DOT,-10.7863,-10.1415,-11.2606,-10.7826
2025-05-31 20:47:47,LTC,-8.5615,-8.8866,-9.2755,-8.9446
2025-05-31 21:10:52,BTC,-2.8579,-2.8692,1.5134,-1.1128
2025-05-31 21:10:52,ETH,-5.2345,0.4076,2.6764,-0.3775
2025-05-31 21:10:52,ADA,-7.2652,-7.2039,-6.6892,-7.0164
2025-05-31 21:10:52,BNB,-4.3732,-1.6248,2.8435,-0.662
2025-05-31 21:10:52,XRP,-3.1175,-5.4426,-6.3741,-5.1177
2025-05-31 21:10:52,SOL,-8.5849,-10.5018,-5.1379,-7.7812
2025-05-31 21:10:52,DOT,-10.361,-9.7131,-10.8375,-10.3572
2025-05-31 21:10:52,LTC,-7.9215,-8.2488,-8.6404,-8.3073
2025-05-31 21:16:10,BTC,-2.9011,-2.9123,1.4684,-1.1567
2025-05-31 21:16:10,ETH,-5.309,0.3286,2.5956,-0.4559
2025-05-31 21:16:10,ADA,-7.6457,-7.5846,-7.072,-7.3979
2025-05-31 21:16:10,BNB,-4.3732,-1.6248,2.8435,-0.662
2025-05-31 21:16:10,XRP,-3.3399,-5.6597,-6.5891,-5.3355
2025-05-31 21:16:10,SOL,-8.5849,-10.5018,-5.1379,-7.7812
2025-05-31 21:16:10,DOT,-10.361,-9.7131,-10.8375,-10.3572
2025-05-31 21:16:10,LTC,-8.0159,-8.3429,-8.7341,-8.4013
2025-05-31 21:21:37,BTC,-2.9011,-2.9123,1.4684,-1.1567
2025-05-31 21:21:37,ETH,-5.2542,0.3867,2.655,-0.3983
2025-05-31 21:21:37,ADA,-7.5693,-7.5082,-6.9952,-7.3213
2025-05-31 21:21:37,BNB,-4.1085,-1.3525,3.1282,-0.387
2025-05-31 21:21:37,XRP,-3.3808,-5.6996,-6.6286,-5.3755
2025-05-31 21:21:37,SOL,-8.5036,-10.4222,-5.0536,-7.6992
2025-05-31 21:21:37,DOT,-10.361,-9.7131,-10.8375,-10.3572
2025-05-31 21:21:37,LTC,-8.0159,-8.3429,-8.7341,-8.4013
2025-05-31 21:25:25,BTC,-2.8704,-2.8816,1.5004,-1.1254
2025-05-31 21:25:25,ETH,-5.2539,0.3871,2.6554,-0.3979
2025-05-31 21:25:25,ADA,-7.628,-7.5669,-7.0542,-7.3802
2025-05-31 21:25:25,BNB,-4.1085,-1.3525,3.1282,-0.387
2025-05-31 21:25:25,XRP,-3.4111,-5.7292,-6.6579,-5.4053
2025-05-31 21:25:25,SOL,-8.4456,-10.3654,-4.9934,-7.6406
2025-05-31 21:25:25,DOT,-10.361,-9.7131,-10.8375,-10.3572
2025-05-31 21:25:25,LTC,-8.0369,-8.3638,-8.7549,-8.4222
2025-05-31 21:28:24,BTC,-2.8704,-2.8816,1.5004,-1.1254
2025-05-31 21:28:24,ETH,-5.2811,0.3583,2.6259,-0.4265
2025-05-31 21:28:24,ADA,-7.7064,-7.6454,-7.1331,-7.4588
2025-05-31 21:28:24,BNB,-4.1085,-1.3525,3.1282,-0.387
2025-05-31 21:28:24,XRP,-3.4054,-5.7236,-6.6524,-5.3997
2025-05-31 21:28:24,SOL,-8.463,-10.3825,-5.0114,-7.6582
2025-05-31 21:28:24,DOT,-10.3872,-9.7394,-10.8635,-10.3834
2025-05-31 21:28:24,LTC,-8.0999,-8.4266,-8.8174,-8.4849
2025-05-31 21:43:27,BTC,-2.83,-2.8413,1.5426,-1.0844
2025-05-31 21:43:27,ETH,-5.2471,0.3942,2.6626,-0.3908
2025-05-31 21:43:27,ADA,-7.6091,-7.5481,-7.0353,-7.3613
2025-05-31 21:43:27,BNB,-4.0852,-1.3286,3.1532,-0.3629
2025-05-31 21:43:27,XRP,-3.4814,-5.7979,-6.7259,-5.4741
